Megnevezés,Referencia,Mágneses,Termikus,Alsó doboz,Mágneses beállító,Mágneses beállító rugó,Vezérlőkar UNI,Vezérlőkar fekete,Kapocs,Szegecs,Fedő,Szorító,Központi szegecs,Központi csavar,Vezérlőkar összekötő,Vezérlőkar összekötő csavar,Központozó gyűrű,Csatlórúd
10A C UNI / 1 Pólus ,3599424KA,51006710ED / EEE11471,3586222QB / EEE11465 - M,3599440AB / EEE11469 - 50mm2,51006191AJ,51006192CE,3580275CC / EEE11462,,51006015AK,51006643AB,51137515AF - 50mm2,51006321AC - 50mm2,51006682AG,51006195AF,,,,51006012AD
63A B UNI / 1 Pólus ,3599434SA,51006710AH / EEE11470,3586222EB / EEE11481 - R,3599440AB / EEE11469 - 50mm2,51006191AJ,51006192KA,3580275CC / EEE11462,,51006015AK,51006643AB,51137515AF - 50mm2,51006321AC - 50mm2,51006682AG,51006195AF,,,,51006012AD
63A C UNI / 1 Pólus ,3599424CA,51006710AH / EEE11470,3586222EB / EEE11481 - R,3599440AB / EEE11469 - 50mm2,51006191AJ,51006192HA,3580275CC / EEE11462,,51006015AK,51006643AB,51137515AF - 50mm2,51006321AC - 50mm2,51006682AG,51006195AF,,,,51006012AD
63A D UNI / 1 Pólus ,3599424EA,51006710AH / EEE11470,3586222EB / EEE11481 - R,3599440AB / EEE11469 - 50mm2,51006191AJ,51006192DE,3580275CC / EEE11462,,51006015AK,51006643AB,51137515AF - 50mm2,51006321AC - 50mm2,51006682AG,51006195AF,,,,51006012AD
80A B UNI / 1 Pólus ,3599434UA,3587079AA / EEE11466,3586222CB / EEE11486 - F,3599440BB / EEE11488 - 70mm2,51006191AJ,51006192AD,3580275CC / EEE11462,,51006015AK,51006643AB,51137515CC - 70mm2,51137120AB - 70mm2,51006682AG,51006195AF,,,,51006012AD
80A C UNI / 1 Pólus ,3599443AA,3587079AA / EEE11466,3586222CB / EEE11486 - F,3599440BB / EEE11488 - 70mm2,51006191AJ,51006192CE,3580275CC / EEE11462,,51006015AK,51006643AB,51137515CC - 70mm2,51137120AB - 70mm2,51006682AG,51006195AF,,,,51006012AD
80A D UNI / 1 Pólus ,3599441EA,3587079AA / EEE11466,3586222CB / EEE11486 - F,3599440BB / EEE11488 - 70mm2,51006191AJ,51006192HA,3580275CC / EEE11462,,51006015AK,51006643AB,51137515CC - 70mm2,51137120AB - 70mm2,51006682AG,51006195AF,,,,51006012AD
10A C BIP / 2P,3599424DA,51006710ED / EEE11471,3586222QB / EEE11465 - M,3599440AB / EEE11469 - 50mm2,51006191AJ,51006192CE,3580275AC / EEE11460,3580275BG / EEE11461,51006015AK,51006643BB,51137515AF - 50mm2,51006321AC - 50mm2,51006682BG,51006195AF,51006352AL,51006102AE,51006683AD,51006012AD
63A B BIP / 2P,3599424FA,51006710AH / EEE11470,3586222EB / EEE11481 - R,3599440AB / EEE11469 - 50mm2,51006191AJ,51006192KA,3580275AC / EEE11460,3580275BG / EEE11461,51006015AK,51006643BB,51137515AF - 50mm2,51006321AC - 50mm2,51006682BG,51006195AF,51006352AL,51006102AE,51006683AD,51006012AD
63A C BIP / 2P,3599442DA,51006710AH / EEE11470,3586222EB / EEE11481 - R,3599440AB / EEE11469 - 50mm2,51006191AJ,51006192HA,3580275AC / EEE11460,3580275BG / EEE11461,51006015AK,51006643BB,51137515AF - 50mm2,51006321AC - 50mm2,51006682BG,51006195AF,51006352AL,51006102AE,51006683AD,51006012AD
63A D BIP / 2P,3599434NA,51006710AH / EEE11470,3586222EB / EEE11481 - R,3599440AB / EEE11469 - 50mm2,51006191AJ,51006192DE,3580275AC / EEE11460,3580275BG / EEE11461,51006015AK,51006643BB,51137515AF - 50mm2,51006321AC - 50mm2,51006682BG,51006195AF,51006352AL,51006102AE,51006683AD,51006012AD
63A INTER BIP / 2P,3599434YA,3587079AA / EEE11466,3586222SB / EEE11482-Inter,3599440AB / EEE11469 - 50mm2,51006191AJ,51006192HA,3580275AC / EEE11460,3580275BG / EEE11461,51006015AK,51006643BB,51137515AF - 50mm2,3532269AF - 63mm2,51006682BG,51006195AF,51006352AL,51006102AE,51006683AD,51006012AD
80A B BIP / 2P,3599441CA,3587079AA / EEE11466,3586222CB / EEE11486 - F,3599440BB / EEE11488 - 70mm2,51006191AJ,51006192AD,3580275AC / EEE11460,3580275BG / EEE11461,51006015AK,51006643BB,51137515CC - 70mm2,51137120AB - 70mm2,51006682BG,51006195AF,51006352AL,51006102AE,51006683AD,51006012AD
80A C BIP / 2P,3599441UA,3587079AA / EEE11466,3586222CB / EEE11486 - F,3599440BB / EEE11488 - 70mm2,51006191AJ,51006192CE,3580275AC / EEE11460,3580275BG / EEE11461,51006015AK,51006643BB,51137515CC - 70mm2,51137120AB - 70mm2,51006682BG,51006195AF,51006352AL,51006102AE,51006683AD,51006012AD
80A D BIP / 2P,3599422LA,3587079AA / EEE11466,3586222CB / EEE11486 - F,3599440BB / EEE11488 - 70mm2,51006191AJ,51006192HA,3580275AC / EEE11460,3580275BG / EEE11461,51006015AK,51006643BB,51137515CC - 70mm2,51137120AB - 70mm2,51006682BG,51006195AF,51006352AL,51006102AE,51006683AD,51006012AD
80A INTER BIP / 2P,3599422VA,3587079AA / EEE11466,3586222SB / EEE11482-Inter,3599440BB / EEE11488 - 70mm2,51006191AJ,51006192HA,3580275AC / EEE11460,3580275BG / EEE11461,51006015AK,51006643BB,51137515CC - 70mm2,51137120AB - 70mm2,51006682BG,51006195AF,51006352AL,51006102AE,51006683AD,51006012AD
63A B TRI / 3P ,3599433LA,51006710AH / EEE11470,3586222FB / EEE11464 - F,3599412AB / EEE11467,51006191AJ,51006192KA,3580275AC / EEE11460,3580275BG / EEE11461,51006015AK,51006203AB,51137518AC,,51006196AE,51006195AF,51006841AK,51006102AE,,51006012AD
63A C TRI / 3P ,3599432DA,51006710AH / EEE11470,3586222FB / EEE11464 - F,3599412AB / EEE11467,51006191AJ,51006192HA,3580275AC / EEE11460,3580275BG / EEE11461,51006015AK,51006203AB,51137518AC,,51006196AE,51006195AF,51006841AK,51006102AE,,51006012AD
63A D TRI / 3P ,3599433JA,51006710AH / EEE11470,3586222FB / EEE11464 - F,3599412AB / EEE11467,51006191AJ,51006192DE,3580275AC / EEE11460,3580275BG / EEE11461,51006015AK,51006203AB,51137518AC,,51006196AE,51006195AF,51006841AK,51006102AE,,51006012AD
63A INTER TRI / 3P ,3599438DA,3587079AA / EEE11466,3586222SB / EEE11482-Inter,3599412AB / EEE11467,51006191AJ,51006192HA,3580275AC / EEE11460,3580275BG / EEE11461,51006015AK,51006203AB,51137518AC,,51006196AE,51006195AF,51006841AK,51006102AE,,51006012AD
80A B TRI / 3P ,3599420JA,3587079AA / EEE11466,3586222DB / EEE11463 - A,3599412AB / EEE11467,51006191AJ,51006192AD,3580275AC / EEE11460,3580275BG / EEE11461,51006015AK,51006203AB,51137518AC,,51006196AE,51006195AF,51006841AK,51006102AE,,51006012AD
80A C TRI / 3P ,3599417NA,3587079AA / EEE11466,3586222DB / EEE11463 - A,3599412AB / EEE11467,51006191AJ,51006192CE,3580275AC / EEE11460,3580275BG / EEE11461,51006015AK,51006203AB,51137518AC,,51006196AE,51006195AF,51006841AK,51006102AE,,51006012AD
80A D TRI / 3P ,3599417TA,3587079AA / EEE11466,3586222DB / EEE11463 - A,3599412AB / EEE11467,51006191AJ,51006192HA,3580275AC / EEE11460,3580275BG / EEE11461,51006015AK,51006203AB,51137518AC,,51006196AE,51006195AF,51006841AK,51006102AE,,51006012AD
80A INTER TRI / 3P ,3599420MA,3587079AA / EEE11466,3586222SB / EEE11482-Inter,3599412AB / EEE11467,51006191AJ,51006192DE,3580275AC / EEE11460,3580275BG / EEE11461,51006015AK,51006203AB,51137518AC,,51006196AE,51006195AF,51006841AK,51006102AE,,51006012AD
100A B TRI / 3P ,3599417JA,3587079AA / EEE11466,3586222BB / EEE11487 - E,3599412AB / EEE11467,51006191AJ,51006192KA,3580275AC / EEE11460,3580275BG / EEE11461,51006015AK,51006203AB,51137518AC,,51006196AE,51006195AF,51006841AK,51006102AE,,51006012AD
100A C TRI / 3P ,3599417BA,3587079AA / EEE11466,3586222BB / EEE11487 - E,3599412AB / EEE11467,51006191AJ,51006192HA,3580275AC / EEE11460,3580275BG / EEE11461,51006015AK,51006203AB,51137518AC,,51006196AE,51006195AF,51006841AK,51006102AE,,51006012AD
100A D TRI / 3P ,3599417LA,3587079AA / EEE11466,3586222BB / EEE11487 - E,3599412AB / EEE11467,51006191AJ,51006192DE,3580275AC / EEE11460,3580275BG / EEE11461,51006015AK,51006203AB,51137518AC,,51006196AE,51006195AF,51006841AK,51006102AE,,51006012AD
100A INTER TRI / 3P ,3599420TA,3587079AA / EEE11466,3586222SB / EEE11482-Inter,3599412AB / EEE11467,51006191AJ,51006192DE,3580275AC / EEE11460,3580275BG / EEE11461,51006015AK,51006203AB,51137518AC,,51006196AE,51006195AF,51006841AK,51006102AE,,51006012AD
125A B TRI / 3P ,3599417HA,3587079AA / EEE11466,3586222AB / EEE11484 - A,3599412AB / EEE11467,51006191AJ,51006192FC,3580275AC / EEE11460,3580275BG / EEE11461,51006015AK,51006203AB,51137518AC,,51006196AE,51006195AF,51006841AK,51006102AE,,51006012AD
